artist_name,album_name,year,avg_dr,min_dr,max_dr,codec,source
John Renbourn,Faro Annie,1971,18,17,19,lossy,Unknown
"Minnesota Orchestra, Stanislaw Skrowaczewski",Ravel ‎– Daphnis Et Chloé - Ma Mère L'Oye - Valses Nobles Et Sentimentales,2005,18,17,19,lossless,CD
Mauricio Kagel,"Exotica, Tactil",1990,18,17,19,lossless,CD
Ravi Shankar,India's Master Musician,1999,18,17,19,lossless,CD
Skeleton Of God,Urine Garden,1993,18,17,20,lossless,CD
Valery Gergiev / The London Symphony Orchestra,Rachmaninov Symphonic Dances & Stravinsky Symphony in Three Movements,2012,18,17,20,lossless,Unknown
Hubbards Cubbard,s/t,1985,18,17,20,lossless,Unknown
Duke Jordan Trio,Flight To Japan,2017,18,17,20,lossless,CD
The Consort of Musicke - Anthony Rooley,Lamento D'Arianna - Disc 1,1990,18,18,18,lossless,CD
Tangerine Dream,White Eagle,1982,18,18,18,lossless,Vinyl
Minimal Decay,Electric Ride,2018,18,18,18,lossless,Download
Bill Evans (Sax),Petit Blonde live,1992,18,18,18,lossless,Unknown
John Cage,Complete Music for Piano Vol 5,2004,17,02,27,lossless,CD
Blore,Blore2,2012,17,09,29,lossy,Unknown
伊東たけし (Takeshi Itoh),Dear Hearts,1987,17,10,20,lossless,CD
Tomasz Stanko Quartet,Matka Joanna,1995,17,11,19,lossless,CD
Elisabeth Karsten,Flux,1999,17,11,20,lossy,Unknown
Danny Clay,Grid Studies,2015,17,11,21,lossless,Download
Isao Suzuki,"Plays ""Ave Maria"" (SACD)",2015,17,11,21,lossless,CD
Flim and the BBs,Tunnel,1984,17,13,20,lossless,CD
David White Quintet,Object Relations,1996,17,13,20,lossless,CD
"Polgar, Komlosi, Budapest Festival Orchester, Fischer",Bela Bartok - Bluebeard's Castle,2003,17,13,21,lossless,CD
Kansas City Symphony - Michael Stern,Benjamin Britten's Orchestra (24-88.2),2009,17,13,21,lossless,Unknown
Dan Gibson,Solitudes - Thunderstorm: A Surround Sound Experience,2000,17,13,21,lossless,CD
Cactus World News,The Bridge,1985,17,13,21,lossless,Vinyl
"Isabelle Menke, Neue Vocalsolisten Stuttgart, Klangforum Wien, Beat Furrer",Beat Furrer – Fama,2006,17,13,21,lossless,CD
Asia,Armada 3,2003,17,13,21,lossless,CD
Vishwa Mohan Bhatt,In Concert,1991,17,13,21,lossless,CD
Don Ross,Bearing Straight,1989,17,13,21,lossless,Unknown
Various Artists,宵々山顔見世コンサート ’73 <Disc 2> (Yoiyoiyama Kaomise Concert '73 : Disc 2),2017,17,13,22,lossless,CD
Steffen Schleiermacher,Erik Satie - Le Fils Des Etoiles (Piano Music Vol. 1),2001,17,13,22,lossless,CD
David Monacchi,Prima Amazonia,2013,17,13,22,lossy,Download
Diamanda Galás,Vena Cava,1993,17,13,23,lossless,CD
Marilyn Mazur's Future Song,Small Labyrinths,1997,17,13,24,lossless,CD
Rickie Lee Jones,Flying Cowboys,1989,17,13,24,lossless,CD
Tattle Tale,Sew True,1995,17,13,25,lossless,Unknown
Magnesis,L'Immortel Opéra,2005,17,14,18,lossless,Unknown
Tomasz Stanko New York Quartet,Wisława,2013,17,14,18,lossless,CD
Dave Grusin,One Of A Kind,1984,17,14,18,lossless,CD
"Atlanta Symphony Orchestra & Chorus, Robert Shaw",Carl Orff: Carmina Burana,1981,17,14,18,lossless,Unknown
Luis Portugal,Coisas Simples,1993,17,14,18,lossless,CD
SILENO,X-Tracks 1,2013,17,14,19,lossless,Unknown
